year,nuts2,nuts3,objective_inequality_index,income_gap,access_to_services,poverty_risk_rate,perceived_injustice,perceived_unfairness,life_satisfaction,economic_optimism,civic_participation,voter_turnout,protest_activity,associational_membership,democratic_trust,institutional_trust,political_efficacy,corruption_perception,media_access_index,local_media_presence,digital_literacy,internet_coverage
2025,AT21,AT211,56.2,58.5,9.5,19.6,55.0,67.4,,57.4,69.5,,62.7,76.2,11.4,,22.8,100.0,57.4,56.7,,58.0
2026,AT21,AT211,19.6,,,19.6,53.1,67.3,48.0,60.1,78.6,94.2,66.5,75.2,12.4,11.5,23.9,98.3,96.1,,96.1,
2016,AT21,AT212,27.8,41.5,59.7,1.5,57.5,47.9,,33.0,38.2,,37.0,39.5,24.4,,11.4,62.5,53.7,89.6,33.8,37.7
2017,AT21,AT212,38.3,38.3,,,49.1,47.1,69.8,30.0,53.9,82.7,38.8,40.3,34.9,58.2,11.5,,61.9,89.2,34.6,
2018,AT21,AT212,27.2,38.2,58.2,1.7,59.9,48.6,,28.8,53.7,83.8,41.0,36.4,46.8,59.9,,66.4,39.7,,36.9,42.5
2019,AT21,AT212,18.9,37.5,,0.3,40.6,48.5,67.2,,52.1,80.0,41.5,34.8,36.4,59.2,13.5,,68.4,92.9,,43.9
2020,AT21,AT212,44.0,41.1,53.1,,59.9,51.8,,32.1,32.5,,,32.5,37.1,56.1,15.3,60.1,57.5,91.5,34.6,46.5
2021,AT21,AT212,0.0,,,0.0,56.7,48.4,,35.0,60.3,86.0,34.6,,36.9,52.3,17.9,59.6,57.0,91.3,31.4,48.4
2022,AT21,AT212,1.9,,,1.9,49.2,,64.8,36.8,29.8,,31.9,27.6,37.8,50.9,20.4,58.0,60.6,88.5,32.8,
2023,AT21,AT212,28.6,35.9,52.2,2.1,47.9,45.9,61.6,40.5,57.1,81.5,32.8,,38.5,53.3,18.3,56.2,31.1,,31.1,
2024,AT21,AT212,21.8,39.5,,4.1,46.7,42.4,61.0,41.3,58.6,83.1,34.2,,39.0,54.2,15.5,52.6,55.3,81.8,32.9,51.3
2025,AT21,AT212,32.9,42.3,47.6,3.9,46.1,40.6,62.3,40.1,46.1,81.6,32.4,24.3,30.2,,13.1,52.7,59.6,85.0,34.2,
2026,AT21,AT212,39.1,39.1,,,46.6,41.7,61.3,40.7,51.0,80.3,,21.7,41.0,60.3,13.9,51.2,56.9,83.7,37.5,49.6
2016,AT21,AT213,47.7,,80.9,76.3,52.0,83.0,,78.9,21.2,4.2,51.9,7.5,71.9,39.8,84.6,8.6,38.4,,56.4,20.4
2017,AT21,AT213,60.1,86.6,80.7,74.5,60.3,,1.7,77.7,31.4,,54.3,8.6,67.0,41.0,,7.1,31.0,12.6,59.0,21.3
2018,AT21,AT213,80.3,82.9,,77.7,67.4,81.7,0.0,79.6,23.8,7.8,56.1,7.5,70.0,39.0,82.0,11.1,28.7,11.2,55.2,19.8
2019,AT21,AT213,58.1,81.6,82.3,74.9,67.6,83.3,0.0,80.6,24.8,11.7,52.7,9.9,61.5,35.9,,12.9,32.2,12.9,51.6,
2020,AT21,AT213,48.9,83.7,85.9,,58.6,,0.0,82.8,11.7,12.0,,11.3,82.8,,78.8,13.1,38.0,,52.7,23.4
2021,AT21,AT213,56.3,80.7,89.8,78.0,89.0,78.9,0.9,,27.0,10.0,56.1,14.9,37.8,37.8,,,31.6,15.2,53.3,26.3
2022,AT21,AT213,55.3,79.7,89.5,75.8,64.0,75.5,0.0,83.4,26.8,12.0,56.5,12.0,67.9,36.9,84.7,17.9,42.3,,54.5,30.1
2023,AT21,AT213,76.2,77.0,,75.4,64.6,73.5,0.0,79.8,25.8,9.5,55.1,12.9,69.8,37.4,86.4,14.5,24.1,21.2,,27.1
2024,AT21,AT213,55.7,79.7,86.9,74.2,59.2,,1.3,80.2,25.1,8.4,51.7,15.2,69.0,35.5,89.8,18.3,22.6,19.2,,26.1
2025,AT21,AT213,47.4,81.9,87.1,,88.3,76.6,0.0,,25.0,10.6,53.0,11.5,90.9,,90.9,,38.6,20.3,57.0,
2026,AT21,AT213,53.5,84.4,90.8,66.8,78.4,78.4,,,24.3,13.5,51.5,8.0,63.2,33.2,93.2,,34.3,20.7,57.0,25.2
2016,AT22,AT221,45.0,57.8,72.8,50.0,77.3,98.0,1.9,64.3,85.1,95.5,71.7,88.2,43.4,11.3,75.4,,66.1,52.0,93.5,52.9
2017,AT22,AT221,42.6,56.3,74.9,46.4,77.5,98.7,0.4,65.8,83.2,97.9,68.5,,37.3,8.6,79.0,75.6,64.6,48.9,90.1,54.7
2018,AT22,AT221,43.5,,,43.5,66.7,,0.0,66.7,79.8,,70.7,89.0,36.9,8.3,77.4,74.9,64.2,46.5,93.6,52.5
2019,AT22,AT221,42.5,58.4,73.0,42.2,78.1,100.0,1.5,64.2,84.7,94.5,66.7,93.0,79.2,,79.2,,61.9,47.2,89.9,48.5
2020,AT22,AT221,42.3,58.5,73.6,42.0,79.0,100.0,0.8,62.2,94.2,96.2,,92.2,14.4,3.9,,75.1,66.5,43.9,89.2,
2021,AT22,AT221,43.0,58.5,71.2,41.7,66.8,96.2,,62.7,85.9,95.0,70.5,92.2,76.5,,76.5,,59.5,44.0,91.4,43.1
2022,AT22,AT221,42.7,57.0,71.6,42.6,93.6,,6.4,,86.7,94.5,69.8,95.7,50.6,,78.0,76.7,61.5,46.5,93.5,44.5
2023,AT22,AT221,42.6,53.2,68.2,42.7,75.3,99.7,9.4,64.3,88.4,92.6,73.3,99.4,36.2,8.6,74.5,74.4,71.1,,97.3,44.9
2024,AT22,AT221,43.3,56.8,68.2,41.3,63.0,,11.3,62.7,89.6,92.4,76.3,100.0,36.6,10.7,71.4,72.4,63.3,46.2,98.5,45.2
2025,AT22,AT221,49.5,56.8,,42.2,77.1,100.0,7.8,61.0,88.0,,76.1,100.0,8.1,8.1,,,,,,
2026,AT22,AT221,43.8,60.5,68.5,39.5,68.2,,4.9,58.7,90.3,90.3,,,16.7,10.9,,77.4,62.7,42.4,100.0,45.8
2016,AT22,AT222,44.0,10.1,22.1,,51.9,47.9,9.9,82.2,10.0,0.9,19.2,,72.6,71.3,77.4,30.8,62.6,38.1,81.5,68.2
2017,AT22,AT222,56.6,6.4,20.5,83.9,68.5,50.9,13.8,,10.1,0.9,19.4,,71.5,70.5,73.6,29.7,62.7,35.2,84.4,68.6
2018,AT22,AT222,45.1,7.2,17.0,,68.0,49.6,13.6,,22.7,0.0,21.9,46.2,70.3,67.1,71.8,27.9,80.2,,88.2,72.2
2019,AT22,AT222,58.8,8.8,20.6,88.1,33.2,53.3,,86.9,34.5,,20.0,49.1,69.7,64.4,,25.0,78.6,,85.3,71.9
2020,AT22,AT222,46.9,5.2,,88.6,48.5,49.4,19.6,84.2,24.1,2.2,,45.9,77.5,,,22.5,62.5,30.0,83.9,73.6
2021,AT22,AT222,55.3,7.1,26.9,85.7,49.2,52.9,18.6,86.6,10.7,3.1,18.2,,69.7,65.0,74.4,,63.4,29.5,87.5,73.1
2022,AT22,AT222,54.0,6.3,27.9,83.6,51.6,56.6,17.9,84.0,20.9,3.0,17.4,42.4,73.2,64.1,77.9,22.5,57.0,28.9,85.1,
2023,AT22,AT222,38.5,4.2,27.3,,49.8,53.5,18.4,85.8,21.5,2.9,,40.1,74.3,67.3,77.4,21.8,50.9,28.8,,72.9
2024,AT22,AT222,52.3,1.9,27.3,82.4,51.9,57.5,16.2,85.7,43.0,,,43.0,75.6,66.0,78.8,18.0,62.7,25.4,87.3,75.5
2025,AT22,AT222,77.3,,31.1,85.8,51.6,57.3,13.4,89.0,46.1,,,46.1,75.6,68.0,,16.8,64.1,23.4,91.0,77.9
2026,AT22,AT222,51.8,1.3,34.6,88.6,51.5,55.2,11.5,89.3,33.5,,21.1,45.9,65.1,65.1,,,62.6,21.4,89.3,77.2
2016,AT22,AT223,67.9,92.0,,43.8,33.2,,84.6,49.0,85.8,,,85.8,60.9,88.0,33.8,,8.7,,8.7,
2017,AT22,AT223,71.1,93.5,51.3,,42.5,59.0,85.5,46.1,62.5,16.5,81.2,89.7,51.9,84.7,34.4,63.5,6.8,6.2,5.5,8.7
2018,AT22,AT223,48.1,,51.9,,42.4,59.7,88.0,44.6,64.9,18.4,85.2,91.1,84.8,84.8,,,9.9,,7.5,12.3
2019,AT22,AT223,69.2,96.1,,42.4,57.3,58.8,,44.2,54.2,20.5,,87.9,50.7,83.0,34.8,65.7,8.4,4.8,8.2,12.3
2020,AT22,AT223,62.6,95.0,52.1,44.9,43.9,60.4,88.0,40.6,88.4,,85.3,91.6,35.2,,33.5,63.0,6.6,3.3,7.3,9.2
2021,AT22,AT223,70.0,98.2,,41.8,58.0,58.0,,,66.5,17.8,87.8,93.9,60.2,85.5,35.0,,8.8,6.3,11.0,9.2
2022,AT22,AT223,63.2,98.5,53.4,44.6,37.2,60.0,85.6,,66.8,14.7,88.5,97.3,64.2,89.1,,60.6,7.6,3.4,9.5,10.0
2023,AT22,AT223,72.8,99.6,54.1,,49.0,62.5,82.7,32.7,68.1,16.9,87.3,100.0,51.2,87.7,28.2,62.2,8.4,,6.6,10.2
2024,AT22,AT223,63.1,96.3,54.1,47.2,48.1,59.0,79.6,35.2,69.5,19.5,89.0,100.0,61.8,83.7,,60.1,6.2,7.6,4.8,
2025,AT22,AT223,45.8,,52.9,44.5,46.3,55.8,78.0,38.9,68.5,18.4,90.1,97.0,51.6,85.9,30.2,61.3,3.1,4.7,1.5,
2026,AT22,AT223,75.3,99.8,49.1,,48.1,58.8,75.5,38.9,69.4,21.0,87.4,99.9,57.5,87.8,27.2,,10.6,8.6,1.9,21.4
2016,AT22,AT224,15.4,4.0,,26.9,55.9,86.3,95.4,23.3,71.0,97.5,16.4,99.1,65.9,90.2,29.5,21.9,44.6,17.6,20.1,96.1
2017,AT22,AT224,19.6,0.5,71.7,30.0,56.7,84.3,92.0,22.1,55.2,94.2,16.1,,51.9,,28.8,25.1,17.7,18.3,17.1,
2018,AT22,AT224,20.2,2.8,74.5,32.2,46.2,84.1,91.7,,92.8,91.0,,94.5,62.9,86.7,29.2,27.3,44.7,20.7,18.8,94.7
2019,AT22,AT224,15.6,2.9,,28.4,55.1,83.2,90.0,27.8,66.0,88.1,15.7,94.1,25.7,,25.7,,47.6,22.3,22.2,98.4
2020,AT22,AT224,22.4,3.9,67.7,30.9,37.9,,92.8,31.4,68.7,90.7,19.4,96.1,62.9,92.5,23.9,27.7,50.2,25.6,25.0,99.9
2021,AT22,AT224,18.3,3.9,67.2,,83.8,83.8,,,90.7,87.3,,94.1,46.5,,21.0,27.9,100.0,,,100.0
2022,AT22,AT224,20.7,3.2,66.8,25.6,55.4,86.7,91.8,28.7,54.7,,15.6,93.8,58.7,87.5,18.6,30.0,47.7,23.4,19.8,100.0
2023,AT22,AT224,21.5,4.8,67.7,27.3,55.9,87.1,87.9,31.5,65.7,87.3,13.7,96.2,58.3,87.2,21.7,34.0,62.4,27.0,,97.8
2024,AT22,AT224,14.7,1.5,,27.9,40.6,,85.5,33.3,65.0,91.0,10.7,93.3,42.0,,21.9,37.8,27.5,27.5,,
2025,AT22,AT224,13.2,1.8,,24.5,81.1,92.3,,30.1,48.5,88.9,8.0,,75.2,85.1,,34.6,61.0,,26.0,95.9
2026,AT22,AT224,30.0,,70.0,,59.0,91.7,84.4,30.3,9.5,,9.5,,59.0,87.7,25.3,35.9,49.6,25.5,28.8,94.4
2016,AT22,AT225,93.3,96.8,,89.8,32.9,15.4,26.3,90.3,65.1,91.4,34.4,69.6,58.8,85.1,16.4,25.2,14.5,6.4,3.5,33.6
2017,AT22,AT225,94.6,94.6,,,32.1,14.3,26.0,92.0,62.7,87.9,33.7,66.4,60.0,88.1,19.6,27.6,15.3,10.3,5.2,30.3
2018,AT22,AT225,67.4,95.1,80.2,87.3,45.0,13.7,23.8,,51.1,,32.8,69.4,53.0,84.3,21.6,,15.4,11.4,5.8,29.1
2019,AT22,AT225,68.9,98.6,80.1,88.2,31.7,12.1,21.9,95.2,61.8,86.2,32.7,66.5,70.3,,,29.7,14.3,14.3,,
2020,AT22,AT225,68.2,95.7,79.1,88.1,32.5,13.4,18.4,97.6,62.9,84.8,33.6,70.3,45.3,,21.4,30.8,21.0,12.4,,29.6
2021,AT22,AT225,67.5,97.7,79.5,84.3,40.3,,20.4,99.0,60.9,83.0,29.9,69.8,59.2,87.2,20.5,30.2,23.0,14.1,,31.9
2022,AT22,AT225,87.8,,,87.8,30.0,11.8,21.7,100.0,77.6,82.7,,72.4,78.0,85.2,,29.2,17.0,17.2,3.2,30.6
2023,AT22,AT225,92.3,99.5,,85.1,42.3,,18.4,97.0,55.5,85.7,25.3,,45.2,,18.4,28.0,16.6,15.6,5.5,28.7
2024,AT22,AT225,21.0,,79.0,,29.7,5.4,17.2,99.1,48.1,,26.2,69.9,61.4,88.2,22.1,26.0,16.2,12.8,8.8,27.1
2025,AT22,AT225,52.6,,80.2,85.5,29.9,3.7,17.5,96.5,62.6,89.0,27.7,71.1,63.0,89.8,25.0,25.7,14.9,14.9,,
2026,AT22,AT225,65.7,96.6,81.7,82.3,0.2,0.4,,100.0,56.6,89.2,24.0,,88.0,88.0,,,19.4,18.1,10.3,29.7
2016,AT22,AT226,32.9,,63.3,29.1,52.3,87.7,83.1,,61.4,66.3,,56.5,53.0,49.2,61.9,52.2,86.0,,76.2,95.8
2017,AT22,AT226,26.6,11.3,62.5,30.9,52.9,85.7,79.9,,55.4,63.7,42.3,60.3,51.2,47.1,60.3,53.8,79.9,69.4,74.4,95.8
2018,AT22,AT226,32.8,,66.2,31.7,,,,,62.2,62.6,,61.7,55.1,,60.4,50.2,80.7,66.5,78.1,97.4
2019,AT22,AT226,25.4,11.2,65.3,30.4,47.6,82.4,78.6,60.9,56.2,62.1,46.1,60.4,52.6,47.3,58.1,47.5,89.0,,81.9,96.0
2020,AT22,AT226,26.4,14.5,61.6,,49.4,86.4,75.5,62.7,63.1,63.1,,,45.1,45.1,,,80.4,66.7,81.5,92.9
2021,AT22,AT226,37.5,,,37.5,51.9,87.7,72.4,59.5,57.0,66.1,42.6,62.2,58.4,,63.1,46.3,70.8,63.1,78.6,
2022,AT22,AT226,30.2,12.7,58.2,36.2,53.8,88.9,70.0,57.5,41.5,,41.5,,53.1,45.4,62.0,48.1,72.2,66.6,77.9,
2023,AT22,AT226,30.1,14.4,54.3,,85.1,85.1,,,54.4,65.3,37.7,60.3,52.2,43.3,58.4,45.0,80.3,69.3,79.5,92.1
2024,AT22,AT226,27.4,16.6,,38.3,53.9,86.6,65.7,59.2,48.8,,39.2,58.3,55.2,,56.2,45.9,75.3,69.2,81.5,
2025,AT22,AT226,40.1,,55.6,35.8,60.0,85.9,65.9,,53.7,62.0,41.9,57.1,56.2,,55.8,43.4,80.6,69.3,79.9,92.7
2026,AT22,AT226,32.2,17.5,53.1,,39.6,,63.5,57.3,45.7,,45.7,,51.5,45.0,56.3,46.8,77.1,72.7,81.5,
2016,AT31,AT311,27.5,28.7,97.6,51.4,38.7,18.4,95.9,6.5,49.4,25.9,47.4,74.8,44.9,48.7,,59.0,34.8,44.6,52.1,7.7
2017,AT31,AT311,15.3,26.7,96.1,,36.5,14.9,97.4,7.9,62.9,,47.7,78.0,33.4,47.3,15.3,62.3,31.8,,54.7,8.8
2018,AT31,AT311,27.6,29.4,96.5,49.8,14.9,14.9,,,49.2,26.0,44.8,76.8,33.3,44.3,18.3,62.7,51.5,45.6,57.4,
2019,AT31,AT311,29.5,30.9,92.6,50.3,34.0,14.2,99.3,13.0,60.0,,43.9,76.1,33.5,45.5,18.0,63.0,35.5,46.9,55.5,4.0
2020,AT31,AT311,28.7,29.3,90.6,47.3,51.0,14.5,,12.4,48.4,21.6,46.3,77.3,37.6,42.3,,67.0,53.2,50.6,55.9,
2021,AT31,AT311,29.2,31.3,91.6,48.0,0.9,,99.1,,50.2,23.0,,77.4,33.2,,,66.8,52.9,52.5,53.3,
2022,AT31,AT311,26.6,27.6,93.8,46.0,4.8,9.0,99.4,,74.7,,,74.7,38.8,46.5,,69.0,36.1,52.4,54.5,1.5
2023,AT31,AT311,37.4,30.1,,44.6,47.8,6.7,,11.1,48.2,24.4,47.6,72.5,30.1,45.0,13.1,67.9,53.4,,53.4,
2024,AT31,AT311,24.6,26.9,99.4,46.3,30.2,5.4,100.0,14.9,37.1,25.3,49.0,,39.5,44.6,,65.7,35.4,49.1,54.6,2.5
2025,AT31,AT311,36.6,29.8,,43.5,29.1,4.3,100.0,17.1,39.8,27.3,52.3,,31.1,45.5,16.7,,49.0,49.0,,
2026,AT31,AT311,36.2,31.7,,40.7,41.9,2.0,,18.3,51.0,28.0,54.7,70.3,31.2,43.9,19.6,69.8,24.9,45.5,,4.2
2016,AT31,AT312,44.2,5.6,,82.8,37.6,87.7,78.4,96.5,78.7,80.4,,77.0,33.5,7.6,61.4,68.6,54.1,28.0,56.2,78.0
2017,AT31,AT312,44.9,3.7,,86.0,14.6,,78.3,92.5,82.7,78.7,90.3,79.1,36.2,11.1,63.5,66.0,66.8,,56.7,76.8
2018,AT31,AT312,39.5,1.1,70.7,88.2,39.3,84.5,77.3,89.2,83.9,75.0,94.0,82.8,35.0,10.9,63.8,69.8,52.2,22.4,55.9,78.2
2019,AT31,AT312,59.0,,71.4,89.4,49.9,86.2,,86.4,83.5,75.8,92.2,82.5,32.8,9.7,60.1,71.4,78.1,,,78.1
2020,AT31,AT312,47.6,5.6,,89.6,41.0,88.5,75.7,89.8,83.7,75.9,93.1,82.2,33.9,12.9,60.0,71.1,50.4,20.8,,80.0
2021,AT31,AT312,18.9,6.1,68.3,,41.9,89.1,74.2,89.3,82.2,73.8,90.7,,19.3,11.1,,72.6,37.0,17.6,56.4,
2022,AT31,AT312,18.5,2.2,65.2,,42.4,86.0,73.0,85.8,81.5,71.2,94.1,79.1,46.1,,60.9,68.7,36.0,15.8,56.2,
2023,AT31,AT312,44.5,4.0,,85.1,41.3,82.1,74.6,83.6,85.3,,94.7,76.0,49.2,,64.8,66.4,47.1,13.7,,80.4
2024,AT31,AT312,58.6,,65.7,82.9,42.2,83.3,76.5,80.2,92.8,,92.8,,40.2,19.5,68.0,67.0,50.5,13.2,56.8,81.5
2025,AT31,AT312,44.4,3.6,,85.3,43.0,84.8,79.3,76.5,75.7,61.4,92.1,73.6,41.6,19.5,71.0,65.6,48.8,12.2,55.5,78.7
2026,AT31,AT312,40.9,0.3,65.1,87.6,53.9,83.3,,75.6,75.1,58.7,89.0,77.6,40.5,17.1,70.9,66.5,42.7,9.4,,76.0
2016,AT31,AT313,52.6,64.5,76.5,69.8,61.9,92.2,68.5,,52.8,77.1,11.3,70.1,56.7,27.5,49.8,7.1,42.4,53.2,31.5,
2017,AT31,AT313,65.0,62.7,,67.2,85.0,,,15.0,44.5,76.6,12.4,,69.8,,50.2,10.5,38.0,50.7,35.4,27.8
2018,AT31,AT313,53.0,62.3,71.3,68.0,95.6,95.6,,,69.4,,,69.4,91.8,,,8.2,42.5,50.9,34.0,
2019,AT31,AT313,50.2,,68.5,69.0,89.8,91.7,,12.2,71.0,74.8,,67.3,58.5,33.9,49.7,8.1,29.9,,33.0,26.8
2020,AT31,AT313,50.2,,69.7,70.1,60.3,91.1,70.5,,72.8,74.5,,71.2,40.6,30.5,50.8,,32.2,,35.1,29.4
2021,AT31,AT313,27.2,,72.8,,85.4,89.4,,18.6,51.2,76.7,3.5,73.5,37.7,27.7,47.7,,37.6,47.3,34.5,30.9
2022,AT31,AT313,49.8,,71.3,70.8,84.5,87.2,,18.3,52.8,76.9,5.8,75.6,54.6,26.1,47.9,10.2,38.2,49.3,36.3,29.1
2023,AT31,AT313,56.8,67.8,69.3,71.9,64.5,83.3,69.1,20.6,1.9,,1.9,,54.0,24.2,44.4,6.7,37.2,,37.2,
2024,AT31,AT313,56.0,65.3,67.6,70.4,56.0,82.3,70.2,,40.3,80.6,0.0,,54.3,23.1,47.1,7.2,37.7,45.4,37.7,30.0
2025,AT31,AT313,50.3,,68.6,69.2,62.9,81.6,71.1,21.9,78.5,82.1,,75.0,31.6,19.1,44.1,,38.4,46.5,35.4,33.4
2026,AT31,AT313,48.8,63.3,65.7,,62.4,82.1,69.3,25.5,53.1,80.6,2.1,76.5,52.4,20.2,47.1,10.0,37.8,45.4,37.5,30.6
2016,AT31,AT314,69.4,,1.1,39.9,82.5,59.4,11.1,0.8,35.2,52.9,38.2,14.5,46.3,76.2,41.3,78.7,37.0,,11.4,62.6
2017,AT31,AT314,66.7,,3.3,36.6,55.6,55.6,,,34.8,51.6,,18.0,60.1,77.1,43.2,,29.1,16.8,11.0,59.5
2018,AT31,AT314,84.8,72.1,2.4,,82.4,54.0,6.9,0.0,38.3,50.7,42.8,21.3,48.4,75.2,,78.5,27.6,16.4,9.9,56.6
2019,AT31,AT314,70.9,74.7,0.8,38.8,96.3,,4.6,2.8,37.2,48.0,43.8,19.8,47.9,75.7,49.2,81.1,36.2,18.2,,54.2
2020,AT31,AT314,70.7,76.2,0.0,35.8,95.9,,,4.1,31.0,,41.6,20.3,47.3,73.5,45.7,77.4,12.1,15.1,9.2,
2021,AT31,AT314,69.8,76.8,0.3,32.9,62.7,62.7,,,36.3,45.6,39.5,23.9,33.8,,49.1,81.4,35.2,17.3,,53.2
2022,AT31,AT314,90.0,80.1,0.0,,85.4,62.2,2.7,3.2,34.7,46.6,36.7,20.8,35.8,,53.0,81.5,28.4,20.8,11.6,52.9
2023,AT31,AT314,57.1,80.9,,33.3,84.2,59.4,0.8,6.1,29.9,,40.5,19.3,37.6,,55.9,80.7,31.1,22.4,15.2,55.7
2024,AT31,AT314,56.9,79.3,,34.5,82.6,55.8,0.7,7.3,35.3,48.3,,22.3,48.8,73.3,55.8,82.6,29.9,19.5,14.2,56.0
2025,AT31,AT314,71.1,81.1,0.0,32.1,,,,,45.3,48.3,42.4,,54.4,,54.4,,28.0,18.8,13.2,52.0
2026,AT31,AT314,57.4,81.7,,33.0,83.9,55.9,0.0,4.1,42.7,,42.7,,48.0,73.1,54.1,83.2,35.2,,15.3,55.1
2016,AT31,AT315,70.1,,29.9,,20.3,,79.7,,80.0,91.3,68.7,,53.2,61.6,39.2,41.3,24.3,17.6,31.7,23.5
